tienda,juego,precio,url,cover
Gato Arcano,¡Matanga!,12990,https://gatoarcano.cl/product/matanga/,https://gatoarcano.cl/wp-content/uploads/2024/01/C-350x447.jpg
Gato Arcano,¡No Gracias!,12990,https://gatoarcano.cl/product/no-gracias/,https://gatoarcano.cl/wp-content/uploads/2021/06/13-1-350x447.jpg
Gato Arcano,¡Toma 11!,12990,https://gatoarcano.cl/product/toma-11/,https://gatoarcano.cl/wp-content/uploads/2023/09/Mesa-de-trabajo28146-1-350x447.jpg
Gato Arcano,¡Toma 6!,12990,https://gatoarcano.cl/product/toma-6/,https://gatoarcano.cl/wp-content/uploads/2020/12/Toma-6-1-350x447.jpg
Gato Arcano,¿En serio?,19990,https://gatoarcano.cl/product/en-serio/,https://gatoarcano.cl/wp-content/uploads/2023/12/WhatsApp-Image-2023-12-07-at-15.27.18-350x447.jpeg
Gato Arcano,¿Quien fue?,12990,https://gatoarcano.cl/product/quien-fue/,https://gatoarcano.cl/wp-content/uploads/2020/05/1-350x447.jpg
Gato Arcano,1000 Km,24990,https://gatoarcano.cl/product/1000-km/,https://gatoarcano.cl/wp-content/uploads/2022/08/Mesa-de-trabajo27107-350x447.jpg
Gato Arcano,3 Ring Circus,34990,https://gatoarcano.cl/product/3-ring-circus/,https://gatoarcano.cl/wp-content/uploads/2023/08/17-1-350x447.jpg
Gato Arcano,3000 Granujas,22990,https://gatoarcano.cl/product/3000-granujas/,https://gatoarcano.cl/wp-content/uploads/2022/09/Mesa-de-trabajo27119-1-350x447.jpg
Gato Arcano,7 Wonders – Armada,31990,https://gatoarcano.cl/product/7-wonders-armada/,https://gatoarcano.cl/wp-content/uploads/2021/05/7-wonders-Armada-1-350x447.jpg
Gato Arcano,7 Wonders – Edifice,26990,https://gatoarcano.cl/product/7-wonders-edifice/,https://gatoarcano.cl/wp-content/uploads/2023/02/Mesa-de-trabajo27579-350x447.jpg
Gato Arcano,7 Wonders 2da edición,47990,https://gatoarcano.cl/product/7-wonders-2da-edicion/,https://gatoarcano.cl/wp-content/uploads/2020/11/7-WONDERS-2nd-edition-1-350x447.jpg
